names,artists,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_min,year
Thang Dien,JustaTee,43,0.622,0.495,5,-8.794,1,0.0363,0.37200000000000005,3.3e-06,0.0991,0.575,140.064,3.925,2019
Anh Là Ai,Phuong Ly,36,0.698,0.387,7,-7.776,1,0.0312,0.763,0.000317,0.0727,0.39399999999999996,94.99700000000001,4.305083333333333,2019
Da Lo Yeu Em Nhieu,JustaTee,41,0.603,0.431,5,-9.566,1,0.0345,0.757,0.0,0.10800000000000001,0.49,80.01899999999999,4.35175,2019
Mặt Trời Của Em,Phuong Ly,36,0.49200000000000005,0.643,5,-6.949,0,0.228,0.638,0.0,0.349,0.638,89.88,4.15555,2019
Nụ Cười,Rhymastic,41,0.633,0.7929999999999999,5,-7.075,1,0.0395,0.0921,0.0,0.0768,0.591,104.97,3.9619,2020
Ngày Tuyệt Vời Nhất,Rhymastic,41,0.6829999999999999,0.625,9,-7.141,1,0.0399,0.40299999999999997,1e-05,0.107,0.585,109.98899999999999,3.6012,2020
Có Em Đời Bỗng Vui,Chillies,55,0.6559999999999999,0.331,2,-9.88,1,0.0302,0.363,0.0,0.201,0.5,105.015,4.1238166666666665,2020
Và Thế Là Hết,Chillies,54,0.544,0.307,1,-10.530999999999999,1,0.0263,0.8140000000000001,0.0,0.113,0.32899999999999996,149.877,4.86085,2018
Đi Đu Đưa Đi,Bich Phuong,48,0.815,0.645,5,-6.334,0,0.0507,0.107,0.00548,0.0953,0.6829999999999999,118.024,3.6694833333333334,2019
Ngày Mai Em Đi,Lê Hiếu,53,0.716,0.5489999999999999,0,-5.086,0,0.0304,0.507,1.56e-06,0.16399999999999998,0.556,100.01,3.64,2017
Vai Lan Don Dua,Soobin Hoang Son,47,0.7240000000000001,0.6679999999999999,6,-4.035,0,0.057999999999999996,0.555,1.57e-06,0.19399999999999998,0.42700000000000005,135.046,2.84445,2017
Tinh Nhan Oi,Orange,49,0.675,0.565,9,-5.456,1,0.0514,0.565,0.0,0.185,0.515,82.99600000000001,4.2469833333333336,2019
Nước Mắt Em Lau Bằng Tình Yêu Mới,Da LAB,43,0.649,0.626,7,-5.535,1,0.0541,0.6990000000000001,0.0,0.0774,0.214,94.84700000000001,4.762366666666667,2019
"Không Sao Mà, Em Đây Rồi",Suni Hạ Linh,0,0.647,0.488,8,-7.218,1,0.0401,0.675,0.0,0.247,0.17800000000000002,102.979,4.4660166666666665,2019
"Sau Nay, Hay Gap Lai Nhau Khi Hoa No",Nguyen Ha,46,0.32799999999999996,0.285,1,-10.724,1,0.0307,0.8740000000000001,0.0,0.122,0.146,92.255,4.5940666666666665,2020
Kho Ve Nu Cuoi (feat. Du Uyen),Đạt G,50,0.45799999999999996,0.332,1,-10.249,0,0.0309,0.73,0.0,0.10099999999999999,0.263,130.214,5.538466666666666,2019
Suýt Nữa Thì,Andiez,48,0.5479999999999999,0.41200000000000003,1,-8.154,1,0.028999999999999998,0.847,0.0,0.128,0.418,132.019,4.7232,2018
Nhung Ke Mong Mo,Noo Phước Thịnh,45,0.46799999999999997,0.562,10,-6.102,1,0.033,0.326,0.0,0.0986,0.474,139.769,4.2296,2018
Thuong Em La Dieu Anh Khong The Ngo,Noo Phước Thịnh,50,0.397,0.408,3,-8.758,1,0.0378,0.8740000000000001,0.0,0.152,0.226,123.221,5.140983333333334,2018
Chưa Bao Giờ,Trung Quan,38,0.44299999999999995,0.33899999999999997,5,-6.808,0,0.0277,0.8740000000000001,1.7899999999999998e-05,0.1,0.263,145.878,4.566,2018
Dấu Mưa,Trung Quan,47,0.662,0.265,2,-7.556,1,0.0309,0.862,0.0,0.0867,0.298,84.921,4.3349,
Thả Vào Mưa,Trung Quan,39,0.527,0.282,11,-8.996,0,0.0337,0.9309999999999999,4.13e-06,0.133,0.21899999999999997,127.925,5.714583333333334,
Cánh Đồng Yêu Thương,Trung Quan,37,0.51,0.46299999999999997,0,-6.24,1,0.0332,0.68,0.0,0.11,0.306,137.812,5.10735,2018
Mùa Hè Phía Chân Trời (Nhạc Phim Tháng 5 Để Dành),Trung Quan,34,0.59,0.415,4,-11.137,1,0.0559,0.7709999999999999,0.0,0.146,0.289,144.03,3.5277833333333333,2019
Chiều Nay Không Có Mưa Bay,Trung Quan,44,0.494,0.433,0,-7.809,1,0.0397,0.7909999999999999,0.0,0.102,0.49200000000000005,171.917,4.942616666666667,
Trái Đất Tròn Không Gì Là Không Thể,Trung Quan,42,0.7,0.495,1,-6.602,0,0.0634,0.818,0.0,0.10400000000000001,0.479,105.041,4.225066666666667,
Một Giấc Mơ (feat. Kimmese),Vũ.,46,0.674,0.474,0,-6.662000000000001,1,0.0374,0.523,2.4100000000000003e-05,0.294,0.44799999999999995,132.968,3.79145,2020
ĐÃ TỪNG LÀ,Vũ.,44,0.46799999999999997,0.505,0,-8.436,1,0.0438,0.655,0.00011599999999999999,0.0711,0.16899999999999998,79.923,4.341783333333334,2020
Her Summer,Vũ.,47,0.5479999999999999,0.48100000000000004,2,-10.049,1,0.0408,0.758,4.23e-06,0.10300000000000001,0.244,139.911,3.74315,2019
Lạ Lùng,Vũ.,0,0.612,0.212,0,-9.857000000000001,1,0.0336,0.958,0.0018100000000000002,0.131,0.223,126.22399999999999,4.3598333333333334,2018
Đông Kiếm Em,Vũ.,51,0.535,0.0646,2,-15.395,1,0.0381,0.9540000000000001,0.000102,0.1,0.14300000000000002,134.584,4.100716666666667,2015
Cô Gái M52,HuyR,41,0.966,0.644,5,-9.389,0,0.0755,0.21600000000000003,0.0,0.0941,0.94,110.012,3.55555,2018
They Said,Binz,38,0.773,0.767,9,-3.065,0,0.15,0.435,0.000105,0.0951,0.536,172.08,3.9069833333333333,2018
Hai Triệu Năm,Đen,50,0.9390000000000001,0.526,6,-7.3229999999999995,0,0.281,0.542,1.18e-06,0.102,0.456,102.012,3.6078666666666668,2019
Anh Đếch Cần Gì Nhiều Ngoài Em,Đen,51,0.82,0.276,6,-9.715,0,0.0418,0.85,0.0,0.124,0.332,97.39,3.6189,2018
Mười Năm (Lộn Xộn 3),Đen,49,0.7240000000000001,0.674,1,-5.751,0,0.12300000000000001,0.649,0.349,0.201,0.17,89.963,4.292666666666666,2019
Đi Theo Bóng Mặt Trời,Đen,47,0.687,0.495,9,-10.036,1,0.345,0.754,0.0,0.251,0.51,77.407,2.7017,2017
Ngày Khác Lạ,Đen,44,0.653,0.782,1,-3.588,0,0.0427,0.0987,0.0,0.115,0.25,137.959,3.536233333333333,2018
Làm Gì Phải Hốt,JustaTee,51,0.932,0.609,10,-6.428999999999999,0,0.133,0.292,0.0,0.055999999999999994,0.612,140.054,3.15495,2020
Cho Tôi Lang Thang,Ngọt,49,0.7559999999999999,0.626,8,-8.639,1,0.0729,0.17300000000000001,0.0,0.16399999999999998,0.596,90.083,4.313083333333333,2017
Em Dạo Này,Ngọt,45,0.41700000000000004,0.35600000000000004,9,-8.747,1,0.0351,0.752,0.0,0.19399999999999998,0.341,158.112,3.3638,2017
LẦN CUỐI (đi bên em xót xa người ơi),Ngọt,50,0.273,0.28300000000000003,0,-10.462,1,0.0278,0.6679999999999999,5.17e-06,0.0941,0.138,169.56,3.7141166666666665,2019
CHUYỂN KÊNH (sản phẩm này không phải là thuốc),Ngọt,40,0.797,0.45,9,-8.311,0,0.036000000000000004,0.348,5.49e-06,0.0908,0.617,130.076,4.56345,2019
"Bài Ka Tuổi Trẻ (feat. Vũ Bùi Thu Thủy, Linh Cáo & Mel G)",JGKiD (Da LAB),41,0.779,0.8809999999999999,10,-3.793,1,0.28,0.71,0.0,0.0815,0.728,77.503,3.8280333333333334,2016
Đi Để Trở Về,Soobin Hoang Son,42,0.733,0.43200000000000005,7,-9.624,1,0.0292,0.495,0.0,0.193,0.6729999999999999,95.988,3.3680666666666665,2017
Sáng Mắt Chưa,Truc Nhan,4,0.7959999999999999,0.738,10,-7.294,1,0.102,0.156,0.0,0.303,0.8190000000000001,144.032,3.4687166666666664,2019
Đâu Cần Một Bài Ca Tình Yêu,Tien Tien,0,0.524,0.6629999999999999,11,-5.473,1,0.0732,0.69,8.71e-05,0.0824,0.5670000000000001,93.381,3.258566666666667,2019
Thương Nhiều Hơn Nói,Masew,38,0.8540000000000001,0.787,11,-6.492000000000001,0,0.0711,0.727,0.0239,0.14400000000000002,0.961,140.043,2.97255,2018
Quan Trong La Than Thai - Original,OnlyC Karik,33,0.877,0.7759999999999999,9,-4.75,0,0.0704,0.33799999999999997,0.0,0.0852,0.82,120.00200000000001,4.0,2018
Gene,Binz,52,0.82,0.902,11,-1.665,0,0.121,0.196,9.7e-05,0.34700000000000003,0.629,100.00399999999999,3.8,2019
So Close,Binz,50,0.785,0.785,7,-4.401,1,0.14800000000000002,0.34,6.55e-06,0.12,0.337,95.036,3.3263166666666666,2019
No Boyfriend - Original,Hoàng Yến Chibi,31,0.5920000000000001,0.8240000000000001,5,-2.8960000000000004,0,0.0451,0.42700000000000005,0.0,0.0715,0.501,99.934,3.6400166666666665,2018
Đường Một Chiều,Huỳnh Tú,50,0.462,0.505,3,-6.129,1,0.0324,0.86,0.00035099999999999997,0.2,0.33299999999999996,132.61,4.783316666666667,2018
Có Chàng Trai Viết Lên Cây,Phan Mạnh Quỳnh,48,0.516,0.446,0,-9.384,0,0.0345,0.9690000000000001,0.00041500000000000006,0.128,0.14400000000000002,88.803,5.096433333333334,2019
1 Phút,Andiez,51,0.42,0.36,1,-6.006,1,0.0288,0.9540000000000001,0.00123,0.113,0.423,135.755,6.266483333333333,2018
Khi Co Don Em Nho Ai,JUUN D,47,0.763,0.34,0,-11.699000000000002,1,0.0392,0.8190000000000001,0.0,0.08199999999999999,0.514,95.945,4.361133333333333,2019
Say Goodbye,Soobin Hoang Son,40,0.6659999999999999,0.484,9,-6.8420000000000005,1,0.027999999999999997,0.433,0.0,0.0759,0.39399999999999996,105.007,4.114283333333334,2019
Yêu Như Ngày Yêu Cuối,Mai Tiến Dũng,39,0.638,0.436,2,-6.291,0,0.0311,0.787,0.0,0.0546,0.23199999999999998,119.941,4.93555,2017
Người Hãy Quên Em Đi,Mỹ Tâm,48,0.778,0.623,2,-6.574,0,0.0353,0.748,0.0,0.0819,0.44,112.021,3.8747,2017
Anh Đợi Em Được Không,Mỹ Tâm,45,0.684,0.41200000000000003,7,-6.9270000000000005,1,0.0256,0.8759999999999999,7.099999999999999e-05,0.38,0.21100000000000002,93.98899999999999,4.613183333333334,2019
Đâu Chỉ Riêng Em,Mỹ Tâm,42,0.6,0.521,9,-6.944,0,0.0519,0.574,1.75e-06,0.0863,0.275,113.87200000000001,3.902,2017
I'm Still Loving You,Noo Phước Thịnh,47,0.754,0.716,3,-3.02,0,0.0641,0.158,0.0002,0.156,0.602,105.01700000000001,3.3333333333333335,2019
Anh Thanh Niên,HuyR,45,0.816,0.521,1,-8.192,1,0.0684,0.486,0.0,0.0735,0.79,139.959,3.857283333333333,2020
Mượn Rượu Tỏ Tình,BigDaddy,54,0.6920000000000001,0.659,5,-7.672000000000001,1,0.161,0.71,0.000354,0.109,0.523,159.928,3.30625,2019
Đừng Chờ Anh Nữa,Tăng Phúc,36,0.483,0.6459999999999999,5,-6.09,0,0.0368,0.589,0.0,0.08900000000000001,0.368,96.838,3.7522166666666665,2018
Liệu Giờ,2T,50,0.6579999999999999,0.45399999999999996,6,-7.72,1,0.0414,0.532,3.9e-05,0.122,0.455,179.855,4.311133333333333,2019
Ai Đưa Em Về,Tia,53,0.809,0.49,10,-7.079,0,0.0389,0.84,0.0,0.11699999999999999,0.35100000000000003,99.96700000000001,3.8874833333333334,2019
Anh Nhà Ở Đâu Thế?,AMEE,36,0.8059999999999999,0.469,10,-7.182,1,0.168,0.647,0.0,0.249,0.525,125.973,3.61905,2019
Đen Đá Không Đường,AMEE,33,0.51,0.433,8,-6.64,1,0.0725,0.684,0.000271,0.0904,0.628,139.678,3.028566666666667,2019
Trời Giấu Trời Mang Đi,AMEE,35,0.423,0.41100000000000003,3,-8.892000000000001,1,0.0971,0.6759999999999999,0.0,0.18600000000000003,0.37200000000000005,183.982,4.30435,2019
Anh Đánh Rơi Người Yêu Này! - Thật Tuyệt Vời Khi Ở Bên Em Ost,Andiez,36,0.546,0.6829999999999999,4,-6.087000000000001,1,0.0401,0.575,6.04e-06,0.275,0.614,170.012,3.458816666666667,2019
Đừng Nói Tôi Điên,Hiền Hồ,33,0.5870000000000001,0.568,3,-6.8260000000000005,1,0.0366,0.8220000000000001,2.48e-05,0.16399999999999998,0.336,139.91299999999998,4.457333333333334,2019
Em Ngày Xưa Khác Rồi,Hiền Hồ,36,0.24,0.39899999999999997,1,-7.1129999999999995,0,0.0377,0.899,0.0,0.10800000000000001,0.214,79.70100000000001,4.797866666666667,2019
Rồi Người Thương Cũng Hóa Người Dưng,Hiền Hồ,38,0.5710000000000001,0.321,4,-8.093,1,0.0277,0.953,3.74e-05,0.11699999999999999,0.34,80.039,4.626483333333334,2019
Anh Oi O Lai,Chi Pu,40,0.536,0.311,6,-8.708,1,0.0367,0.762,1.32e-06,0.106,0.128,123.588,4.872983333333333,2019
Nếu Ngày Ấy,Soobin Hoang Son,35,0.531,0.535,1,-7.218999999999999,1,0.0312,0.675,3.2500000000000004e-05,0.105,0.563,129.658,4.878216666666667,2019
Em Lỡ Thôi À,Duong Trieu Vu,0,0.537,0.473,0,-5.9270000000000005,0,0.0363,0.851,0.0,0.136,0.268,145.942,5.5212666666666665,2019
Thái Bình Mồ Hôi Rơi,Sơn Tùng M-TP,35,0.5329999999999999,0.442,3,-6.657,0,0.0288,0.3,2.75e-06,0.155,0.157,130.05,5.30155,2017
Ấn Nút Nhớ... Thả Giấc Mơ,Sơn Tùng M-TP,36,0.7120000000000001,0.6970000000000001,1,-8.224,0,0.0459,0.649,0.000132,0.33399999999999996,0.634,94.98700000000001,4.075666666666667,2017
Tiến Lên Việt Nam Ơi,Sơn Tùng M-TP,33,0.6890000000000001,0.862,11,-7.737,1,0.045,0.594,1.58e-05,0.106,0.722,131.011,3.6438,2017
Remember Me - SlimV remix,Sơn Tùng M-TP,34,0.639,0.436,11,-9.636000000000001,0,0.0531,0.503,0.462,0.11599999999999999,0.4,82.5,3.391566666666667,2017
Như Ngày Hôm Qua,Sơn Tùng M-TP,47,0.809,0.612,2,-7.904,1,0.0279,0.16899999999999998,2.49e-06,0.0784,0.752,109.99,3.71635,2017
Buông Đôi Tay Nhau Ra,Sơn Tùng M-TP,45,0.705,0.72,8,-7.135,0,0.0291,0.639,0.513,0.10800000000000001,0.634,110.96,3.791533333333333,2017
Lạc Trôi,Sơn Tùng M-TP,44,0.639,0.873,9,-3.6460000000000004,0,0.0399,0.331,0.0326,0.133,0.166,135.062,3.881483333333333,2017
Chắc Ai Đó Sẽ Về,Sơn Tùng M-TP,45,0.531,0.65,4,-7.763999999999999,0,0.0809,0.9229999999999999,0.782,0.151,0.386,137.85299999999998,4.3694,2017
Không Phải Dạng Vừa Đâu,Sơn Tùng M-TP,40,0.71,0.809,1,-5.4239999999999995,0,0.05,0.64,0.0025399999999999997,0.0913,0.871,95.022,4.12725,2017
Chúng Ta Không Thuộc Về Nhau,Sơn Tùng M-TP,46,0.75,0.835,9,-4.698,0,0.0341,0.24100000000000002,0.00020899999999999998,0.153,0.48700000000000004,102.992,3.8835,2017
Âm Thầm Bên Em,Sơn Tùng M-TP,50,0.498,0.462,10,-9.152999999999999,1,0.0273,0.883,0.0033799999999999998,0.128,0.107,140.083,4.8852,2017
Nơi Này Có Anh,Sơn Tùng M-TP,51,0.52,0.853,0,-5.249,1,0.0303,0.0446,0.000974,0.14400000000000002,0.32799999999999996,91.994,4.335283333333333,2017
