names,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Yêu Như Ngày Yêu Cuối,Pop/Ballad,0.638,0.436,2,-6.291,0,0.0311,0.787,0.0,0.0546,0.23199999999999998,119.941,296133
Người Hãy Quên Em Đi,Pop/Ballad,0.778,0.623,2,-6.574,0,0.0353,0.748,0.0,0.0819,0.44,112.021,232482
Anh Đợi Em Được Không,Pop/Ballad,0.684,0.41200000000000003,7,-6.9270000000000005,1,0.0256,0.8759999999999999,7.099999999999999e-05,0.38,0.21100000000000002,93.98899999999999,276791
Đâu Chỉ Riêng Em,Pop/Ballad,0.6,0.521,9,-6.944,0,0.0519,0.574,1.75e-06,0.0863,0.275,113.87200000000001,234120
I'm Still Loving You,Pop/Ballad,0.754,0.716,3,-3.02,0,0.0641,0.158,0.0002,0.156,0.602,105.01700000000001,200000
Anh Thanh Niên,Indie/Hip Hop,0.816,0.521,1,-8.192,1,0.0684,0.486,0.0,0.0735,0.79,139.959,231437
Mượn Rượu Tỏ Tình,Indie/Hip Hop,0.6920000000000001,0.659,5,-7.672000000000001,1,0.161,0.71,0.000354,0.109,0.523,159.928,198375
Đừng Chờ Anh Nữa,Pop/Ballad,0.483,0.6459999999999999,5,-6.09,0,0.0368,0.589,0.0,0.08900000000000001,0.368,96.838,225133
Liệu Giờ,Pop/Ballad,0.6579999999999999,0.45399999999999996,6,-7.72,1,0.0414,0.532,3.9e-05,0.122,0.455,179.855,258668
Ai Đưa Em Về,Pop/Ballad,0.809,0.49,10,-7.079,0,0.0389,0.84,0.0,0.11699999999999999,0.35100000000000003,99.96700000000001,233249
Anh Nhà Ở Đâu Thế?,Pop/Ballad,0.8059999999999999,0.469,10,-7.182,1,0.168,0.647,0.0,0.249,0.525,125.973,217143
Đen Đá Không Đường,Pop/Ballad,0.51,0.433,8,-6.64,1,0.0725,0.684,0.000271,0.0904,0.628,139.678,181714
Trời Giấu Trời Mang Đi,Pop/Ballad,0.423,0.41100000000000003,3,-8.892000000000001,1,0.0971,0.6759999999999999,0.0,0.18600000000000003,0.37200000000000005,183.982,258261
Anh Đánh Rơi Người Yêu Này! - Thật Tuyệt Vời Khi Ở Bên Em Ost,Pop/Ballad,0.546,0.6829999999999999,4,-6.087000000000001,1,0.0401,0.575,6.04e-06,0.275,0.614,170.012,207529
Đừng Nói Tôi Điên,Pop/Ballad,0.5870000000000001,0.568,3,-6.8260000000000005,1,0.0366,0.8220000000000001,2.48e-05,0.16399999999999998,0.336,139.91299999999998,267440
Em Ngày Xưa Khác Rồi,Pop/Ballad,0.24,0.39899999999999997,1,-7.1129999999999995,0,0.0377,0.899,0.0,0.10800000000000001,0.214,79.70100000000001,287872
Rồi Người Thương Cũng Hóa Người Dưng,Pop/Ballad,0.5710000000000001,0.321,4,-8.093,1,0.0277,0.953,3.74e-05,0.11699999999999999,0.34,80.039,277589
Anh Oi O Lai,Pop/Ballad,0.536,0.311,6,-8.708,1,0.0367,0.762,1.32e-06,0.106,0.128,123.588,292379
Nếu Ngày Ấy,Pop/Ballad,0.531,0.535,1,-7.218999999999999,1,0.0312,0.675,3.2500000000000004e-05,0.105,0.563,129.658,292693
Em Lỡ Thôi À,Pop/Ballad,0.537,0.473,0,-5.9270000000000005,0,0.0363,0.851,0.0,0.136,0.268,145.942,331276
Thái Bình Mồ Hôi Rơi,Pop/Ballad,0.5329999999999999,0.442,3,-6.657,0,0.0288,0.3,2.75e-06,0.155,0.157,130.05,318093
Ấn Nút Nhớ... Thả Giấc Mơ,Pop/Ballad,0.7120000000000001,0.6970000000000001,1,-8.224,0,0.0459,0.649,0.000132,0.33399999999999996,0.634,94.98700000000001,244540
Tiến Lên Việt Nam Ơi,Pop/Ballad,0.6890000000000001,0.862,11,-7.737,1,0.045,0.594,1.58e-05,0.106,0.722,131.011,218628
Remember Me - SlimV remix,Pop/Ballad,0.639,0.436,11,-9.636000000000001,0,0.0531,0.503,0.462,0.11599999999999999,0.4,82.5,203494
Như Ngày Hôm Qua,Pop/Ballad,0.809,0.612,2,-7.904,1,0.0279,0.16899999999999998,2.49e-06,0.0784,0.752,109.99,222981
